case_id,feasible,best_start_time_s,best_start_distance_km,T_end,SOC_end_pct,E_heat_kwh,charge_time_s,charge_power_kw,score,feasible_count,t_charge_min,t_charge_max,E_heat_min,E_heat_max,n_eval,fb_penalty
1,1,1355.5000,29.3865,22.999394,10.299585,3.704459,1031.3970,85.1491,33.307299,546,1031.3970,1042.6569,3.187959,3.806792,1055,0
2,1,370.3000,35.7923,20.000305,16.589951,3.135783,933.4367,85.5941,50.000000,509,933.4367,940.5983,3.135783,3.752949,913,0
3,1,551.6000,35.2508,20.000446,14.301165,3.172710,983.3079,84.1858,48.046672,711,980.9197,1017.5986,3.172710,4.092044,1134,0
4,0,3150.0000,10.2395,13.865070,8.591798,2.247465,1231.6563,73.0515,-1,0,,,,,451,57.4677
5,1,672.1000,32.1645,21.305656,10.000322,3.382254,1062.0677,83.0452,30.000000,348,1062.0677,1066.1018,3.154921,3.382254,833,0
6,0,2170.0000,15.1661,14.792871,8.815620,2.311619,1206.4199,74.3459,-1,0,,,,,357,41.1417
7,1,1700.0000,21.4321,21.381561,10.000416,3.373456,1060.9467,83.1328,30.000000,353,1060.9467,1065.9115,3.145289,3.373456,966,0
8,1,655.5000,30.8510,20.000633,17.613856,3.104052,911.6502,86.2245,50.000000,703,911.6502,945.0964,3.104052,4.008552,1140,0
9,0,1392.0000,21.3882,12.952948,8.414708,1.936900,1255.8481,71.8220,-1,0,,,,,2812,74.7924
10,1,1768.9000,19.3452,20.573394,10.000245,3.257782,1072.9861,82.2002,30.000000,272,1072.9861,1075.1767,3.164616,3.257782,865,0
11,1,244.4000,37.5098,20.000598,17.236221,3.157446,919.6474,85.9920,50.000000,393,919.6474,921.7231,3.157446,3.564779,792,0
12,0,3100.0000,9.2634,10.347543,7.710968,1.712507,1337.2711,68.1120,-1,0,,,,,414,145.567
13,0,2070.0000,17.5126,16.921023,9.315739,2.665271,1152.1397,77.3015,-1,0,,,,,368,14.1622
14,1,1887.5000,19.4290,20.438502,10.000030,3.256295,1075.0267,82.0444,30.000000,268,1075.0267,1076.7089,3.184795,3.256295,867,0
15,0,3470.0000,5.0354,6.322974,6.586269,1.183916,1561.6721,59.2322,-1,0,,,,,420,303.597
16,1,735.3000,31.9099,20.000428,14.043942,3.174546,989.0175,84.0275,47.457517,706,985.8306,1023.4340,3.174546,4.085546,1163,0
17,1,349.9000,35.7436,20.000662,17.283491,3.136414,918.6435,86.0212,50.000000,494,918.6435,923.9629,3.136414,3.719581,881,0
18,0,2870.0000,14.2462,17.546689,9.466315,2.819114,1136.8538,78.1740,-1,0,,,,,458,8.86694
19,0,3040.0000,8.3559,12.207072,8.141503,1.979793,1280.8616,70.6881,-1,0,,,,,424,95.2698
20,1,67.4000,38.4886,20.000057,17.906992,3.171982,905.4774,86.4044,50.000000,225,905.4774,906.3810,3.171982,3.284316,617,0
21,1,622.4000,33.2254,22.688599,10.000162,3.592457,1042.0485,84.6408,30.000000,495,1042.0485,1049.8145,3.118623,3.592457,990,0
22,1,1601.5000,23.8353,20.000824,13.324369,3.193698,1005.0993,83.5851,45.742338,683,999.6832,1037.8458,3.193698,4.066364,1230,0
23,1,951.6000,30.5484,20.000548,16.309560,3.169231,939.4556,85.4218,50.000000,708,939.4556,973.1413,3.169231,4.073065,1184,0
24,0,1268.0000,26.6575,19.269420,9.849695,3.005184,1097.3889,80.5452,-1,0,,,,,3381,0.759664
25,1,0.0000,39.0000,22.404418,13.509829,3.569134,972.4836,86.1481,30.000000,378,972.4836,973.6168,3.128300,3.569134,708,0
26,0,2250.0000,17.9279,18.605461,9.673591,2.994893,1113.1655,79.6030,-1,0,,,,,406,3.01017
27,0,3140.0000,9.6897,10.678715,7.800387,1.770848,1326.4340,68.5835,-1,0,,,,,422,135.269
28,0,2780.0000,10.0220,10.350248,7.712547,1.704927,1337.1496,68.1167,-1,0,,,,,382,145.442
29,1,1290.3000,27.8455,20.087498,10.000070,3.131010,1080.3588,81.6395,30.000000,90,1080.3588,1080.6772,3.116176,3.131010,3676,0
30,1,995.0000,28.6427,20.000812,12.304252,3.154469,1028.1990,82.9573,42.988553,655,1021.3908,1050.5213,3.154469,3.950469,1159,0
31,1,916.7000,29.4476,22.336664,10.000253,3.466587,1047.0701,84.2347,30.000000,445,1047.0701,1054.6756,3.071587,3.466587,972,0
32,0,3470.0000,4.4339,5.738399,6.411488,1.076194,1601.7321,57.8883,-1,0,,,,,413,332.167
33,0,1595.0000,15.6696,15.719382,9.043931,2.400546,1181.9255,75.6432,-1,0,,,,,3341,27.4644
34,0,3050.0000,11.1656,11.420770,8.030057,1.869258,1301.6062,69.6694,-1,0,,,,,419,112.41
35,1,111.2000,38.2960,20.000810,18.403915,3.182399,895.0568,86.7108,50.000000,258,895.0568,896.7433,3.182399,3.367733,651,0
36,0,1970.0000,6.8092,10.078362,7.589063,1.539940,1348.0863,67.6795,-1,0,,,,,291,156.565
37,0,2220.0000,15.8566,16.536882,9.208858,2.587649,1162.1524,76.7514,-1,0,,,,,379,18.2522
