case_id,rank,start_time_s,start_distance_km,T_end,SOC_end_pct,E_heat_kwh,charge_time_s,score
1,1,1355.5000,29.3865,22.999394,10.299585,3.704459,1031.3970,33.307299
1,2,1355.6000,29.3849,22.998456,10.300072,3.704292,1031.3998,33.305179
1,3,1355.7000,29.3834,22.997518,10.300560,3.704126,1031.4026,33.303060
1,4,1355.8000,29.3818,22.996579,10.301047,3.703959,1031.4054,33.300942
1,5,1355.9000,29.3803,22.995641,10.301534,3.703792,1031.4082,33.298821
1,6,1356.0000,29.3787,22.994703,10.302022,3.703626,1031.4110,33.296701
1,7,1356.1000,29.3772,22.993764,10.302509,3.703459,1031.4139,33.294582
1,8,1356.2000,29.3756,22.992826,10.302997,3.703292,1031.4167,33.292465
1,9,1356.3000,29.3741,22.991887,10.303484,3.703126,1031.4195,33.290349
1,10,1355.4000,29.3880,23.000333,10.299097,3.704626,1031.4016,33.289623
2,1,370.3000,35.7923,20.000305,16.589951,3.135783,933.4367,50.000000
2,2,370.2000,35.7936,20.001247,16.589487,3.135949,933.4374,49.991690
2,3,370.1000,35.7949,20.002188,16.589023,3.136116,933.4381,49.983383
2,4,370.0000,35.7962,20.003130,16.588559,3.136283,933.4388,49.975076
2,5,369.9000,35.7974,20.004072,16.588095,3.136449,933.4394,49.966771
2,6,369.8000,35.7987,20.005014,16.587631,3.136616,933.4401,49.958464
2,7,369.7000,35.8000,20.005956,16.587167,3.136783,933.4408,49.950158
2,8,369.6000,35.8013,20.006898,16.586703,3.136949,933.4415,49.941854
2,9,369.5000,35.8025,20.007840,16.586239,3.137116,933.4422,49.933552
2,10,369.4000,35.8038,20.008782,16.585775,3.137283,933.4429,49.925251
3,1,551.6000,35.2508,20.000446,14.301165,3.172710,983.3079,48.046672
3,2,551.5000,35.2515,20.001383,14.300697,3.172877,983.3074,48.043411
3,3,551.4000,35.2522,20.002320,14.300229,3.173044,983.3070,48.040149
3,4,551.3000,35.2529,20.003257,14.299760,3.173210,983.3065,48.036889
3,5,551.2000,35.2537,20.004194,14.299292,3.173377,983.3061,48.033628
3,6,551.1000,35.2544,20.005131,14.298824,3.173544,983.3056,48.030368
3,7,551.0000,35.2551,20.006068,14.298356,3.173710,983.3052,48.027107
3,8,550.9000,35.2558,20.007004,14.297888,3.173877,983.3047,48.023847
3,9,550.8000,35.2565,20.007941,14.297420,3.174044,983.3043,48.020587
3,10,550.7000,35.2572,20.008878,14.296951,3.174210,983.3038,48.017327
5,1,672.1000,32.1645,21.305656,10.000322,3.382254,1062.0677,30.000000
5,2,672.2000,32.1633,21.304711,10.000809,3.382087,1062.0708,29.992025
5,3,672.3000,32.1620,21.303766,10.001296,3.381921,1062.0738,29.984047
5,4,672.4000,32.1608,21.302821,10.001782,3.381754,1062.0768,29.976073
5,5,672.5000,32.1596,21.301876,10.002269,3.381587,1062.0799,29.968101
5,6,672.6000,32.1584,21.300931,10.002756,3.381421,1062.0829,29.960134
5,7,672.7000,32.1572,21.299986,10.003242,3.381254,1062.0860,29.952164
5,8,672.8000,32.1560,21.299041,10.003729,3.381087,1062.0890,29.944192
5,9,672.9000,32.1548,21.298096,10.004215,3.380921,1062.0921,29.936222
5,10,673.0000,32.1536,21.297150,10.004702,3.380754,1062.0951,29.928256
