case_id,rank,start_time_s,start_distance_km,T_end,SOC_end_pct,E_heat_kwh,charge_time_s,score
1,1,1355.5000,29.3865,22.999394,10.299585,3.704459,1031.3970,32.870787
1,2,1355.6000,29.3849,22.998456,10.300072,3.704292,1031.3998,32.867364
1,3,1355.7000,29.3834,22.997518,10.300560,3.704126,1031.4026,32.863943
1,4,1355.8000,29.3818,22.996579,10.301047,3.703959,1031.4054,32.860523
1,5,1355.9000,29.3803,22.995641,10.301534,3.703792,1031.4082,32.857099
1,6,1356.0000,29.3787,22.994703,10.302022,3.703626,1031.4110,32.853677
1,7,1355.4000,29.3880,23.000333,10.299097,3.704626,1031.4016,32.850368
1,8,1356.1000,29.3772,22.993764,10.302509,3.703459,1031.4139,32.850257
1,9,1356.2000,29.3756,22.992826,10.302997,3.703292,1031.4167,32.846838
1,10,1356.3000,29.3741,22.991887,10.303484,3.703126,1031.4195,32.843420
2,1,365.0000,35.8598,20.050205,16.565360,3.144616,933.4732,50.000000
2,2,364.9000,35.8611,20.051146,16.564896,3.144783,933.4739,49.991642
2,3,364.8000,35.8624,20.052087,16.564432,3.144949,933.4746,49.983283
2,4,364.7000,35.8637,20.053028,16.563968,3.145116,933.4752,49.974924
2,5,364.6000,35.8649,20.053969,16.563504,3.145283,933.4759,49.966567
2,6,364.5000,35.8662,20.054910,16.563040,3.145449,933.4766,49.958212
2,7,364.4000,35.8675,20.055851,16.562576,3.145616,933.4773,49.949858
2,8,364.3000,35.8688,20.056792,16.562112,3.145783,933.4780,49.941503
2,9,364.2000,35.8700,20.057732,16.561648,3.145949,933.4787,49.933149
2,10,364.1000,35.8713,20.058673,16.561184,3.146116,933.4793,49.924796
3,1,546.3000,35.2887,20.050086,14.276350,3.181544,983.2840,48.049774
3,2,546.2000,35.2894,20.051023,14.275882,3.181710,983.2835,48.046477
3,3,546.1000,35.2901,20.051959,14.275414,3.181877,983.2831,48.043180
3,4,546.0000,35.2908,20.052895,14.274945,3.182044,983.2826,48.039883
3,5,545.9000,35.2915,20.053831,14.274477,3.182210,983.2822,48.036586
3,6,545.8000,35.2922,20.054768,14.274009,3.182377,983.2817,48.033289
3,7,545.7000,35.2930,20.055704,14.273541,3.182544,983.2812,48.029992
3,8,545.6000,35.2937,20.056640,14.273072,3.182710,983.2808,48.026696
3,9,545.5000,35.2944,20.057576,14.272604,3.182877,983.2803,48.023400
