case_id,t_best_dt1,T_dt1,soc_dt1,score_dt1,t_best_dt0.5,T_dt0.5,soc_dt0.5,score_dt0.5,t_best_dt0.25,T_dt0.25,soc_dt0.25,score_dt0.25,t_best_dt0.125,T_dt0.125,soc_dt0.125,score_dt0.125,dT_1.0,dT_0.5,dT_0.25,dSoc_1.0,dSoc_0.5,dSoc_0.25,dt_1.0,dt_0.5,dt_0.25,dscore_1.0,dscore_0.5,dscore_0.25
51850,193.6000,22.999387,10.171859,31.979052,193.5000,22.999364,10.170475,31.969112,193.4000,22.999799,10.169544,31.959161,193.4000,22.999570,10.169317,31.954182,0.000183206,0.000206025,0.000229079,0.00254155,0.00115767,0.000226903,0.2,0.1,0,0.0248702,0.0149304,0.00497953
49802,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
48038,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
58230,741.8000,20.000681,14.308765,47.901192,741.7000,20.000761,14.307611,47.902378,741.7000,20.000331,14.307267,47.903249,741.7000,20.000116,14.307095,47.903200,0.000565288,0.000645256,0.00021509,0.00167028,0.00051619,0.000172081,0.1,0,0,0.00200798,0.000821889,4.90016e-05
46625,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
33862,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
46446,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
59269,1077.1000,20.000968,14.042102,46.928388,1077.1000,20.000180,14.041492,46.929467,1077.0000,20.000765,14.040710,46.930008,1077.0000,20.000568,14.040558,46.931377,0.000400557,0.000387709,0.00019707,0.00154398,0.000934061,0.000152554,0.1,0.1,0,0.00298938,0.00191053,0.00136897
20066,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
23426,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
38741,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
16915,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
51183,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
40917,152.6000,20.000882,19.798886,50.000000,152.6000,20.000006,19.798371,50.000000,152.5000,20.000494,19.797659,50.000000,152.5000,20.000275,19.797530,50.000000,0.000607637,0.000269052,0.000219295,0.00135574,0.000840547,0.000128933,0.1,0.1,0,0,0,0
30134,94.1000,20.000056,16.527061,50.000000,94.0000,20.000110,16.525881,50.000000,93.9000,20.000598,16.525062,50.000000,93.9000,20.000381,16.524881,50.000000,0.000325098,0.000270875,0.000217049,0.00218051,0.00100023,0.000180655,0.2,0.1,0,0,0,0
3633,1023.1000,20.000320,14.376505,47.553154,1023.0000,20.000505,14.375396,47.554737,1023.0000,20.000111,14.375078,47.553883,1022.9000,20.000886,14.374445,47.551422,0.00056623,0.00038155,0.000775452,0.00206039,0.000951041,0.000633575,0.2,0.1,0.1,0.00173224,0.00331469,0.00246067
54342,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
43532,1701.0000,20.000245,12.304790,42.619410,1700.9000,20.000478,12.303760,42.613881,1700.9000,20.000090,12.303489,42.607746,1700.8000,20.000905,12.302867,42.609127,0.000660149,0.000427227,0.000815884,0.00192261,0.000893448,0.000621668,0.2,0.1,0.1,0.0102838,0.0047542,0.00138048
6072,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
21988,392.1000,20.000256,16.602142,50.000000,392.0000,20.000316,16.601096,50.000000,391.9000,20.000816,16.600342,50.000000,391.9000,20.000596,16.600196,50.000000,0.000340404,0.000280241,0.000220154,0.00194624,0.000900302,0.000146158,0.2,0.1,0,0,6.96332e-13,0
62874,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
37077,256.8000,20.564682,10.000027,30.000000,257.1000,20.561074,10.000377,30.000000,257.2000,20.559728,10.000316,30.000000,257.2000,20.559513,10.000049,30.000000,0.00516913,0.00156101,0.000214896,2.14572e-05,0.000328565,0.000267009,0.4,0.1,0,0,0,0
46223,498.9000,22.999912,10.173407,32.008929,498.8000,22.999917,10.172067,31.993856,498.8000,22.999466,10.171637,31.988827,498.8000,22.999240,10.171422,31.989383,0.000671722,0.000677173,0.000225743,0.00198525,0.00064522,0.00021514,0.1,0,0,0.0195461,0.00447396,0.000555693
60593,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
13423,0.0000,21.270563,12.624516,30.000000,0.0000,21.269719,12.623509,30.000000,0.0000,21.269296,12.623005,30.000000,0.0000,21.269085,12.622753,30.000000,0.00147871,0.000633935,0.000211334,0.00176318,0.000756092,0.000252113,0,0,0,0,0,0
1072,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
18552,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
26346,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
37624,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
29590,119.3000,20.000812,17.587530,50.000000,119.2000,20.000878,17.586412,50.000000,119.2000,20.000449,17.586083,50.000000,119.2000,20.000235,17.585918,50.000000,0.000576915,0.000643638,0.000214583,0.00161146,0.000494189,0.000164769,0.1,0,0,0,0,0
