case_id,best_t_normal,best_t_audited,shift_s
1,1355.5000,1355.4400,0.0600
2,370.3000,370.3300,0.0300
3,551.6000,551.6400,0.0400
4,0.0000,0.0000,-1.0000
5,672.1000,672.0400,0.0600
6,0.0000,0.0000,-1.0000
7,1700.0000,1699.9200,0.0800
8,655.5000,655.5600,0.0600
9,0.0000,0.0000,-1.0000
10,1768.9000,1768.8600,0.0400
11,244.4000,244.4600,0.0600
12,0.0000,0.0000,-1.0000
13,0.0000,0.0000,-1.0000
14,1887.5000,1887.5000,0.0000
15,0.0000,0.0000,-1.0000
16,735.3000,735.3400,0.0400
17,349.9000,349.9700,0.0700
18,0.0000,0.0000,-1.0000
19,0.0000,0.0000,-1.0000
20,67.4000,67.4000,0.0000
21,622.4000,622.3700,0.0300
22,1601.5000,1601.5800,0.0800
23,951.6000,951.6500,0.0500
24,0.0000,0.0000,-1.0000
25,0.0000,0.0000,0.0000
26,0.0000,0.0000,-1.0000
27,0.0000,0.0000,-1.0000
28,0.0000,0.0000,-1.0000
29,1290.3000,1290.2900,0.0100
30,995.0000,995.0800,0.0800
31,916.7000,916.6500,0.0500
32,0.0000,0.0000,-1.0000
33,0.0000,0.0000,-1.0000
34,0.0000,0.0000,-1.0000
35,111.2000,111.2800,0.0800
36,0.0000,0.0000,-1.0000
37,0.0000,0.0000,-1.0000
38,1530.0000,1529.9700,0.0300
39,0.0000,0.0000,-1.0000
40,0.0000,0.0000,-1.0000
41,665.3000,665.3000,0.0000
42,1470.2000,1470.1300,0.0700
43,447.3000,447.3700,0.0700
44,1371.4000,1371.3200,0.0800
45,364.0000,364.0800,0.0800
46,480.5000,480.5700,0.0700
47,0.0000,0.0000,-1.0000
48,0.0000,0.0000,-1.0000
49,0.0000,0.0000,-1.0000
50,799.4000,799.4900,0.0900
51,0.0000,0.0000,-1.0000
52,0.0000,0.0000,-1.0000
53,1725.1000,1725.0100,0.0900
54,0.0000,0.0000,0.0000
55,448.6000,448.6100,0.0100
56,352.8000,352.8800,0.0800
57,0.0000,0.0000,0.0000
58,1547.3000,1547.3500,0.0500
59,819.6000,819.6600,0.0600
60,872.4000,872.3200,0.0800
61,121.0000,121.0000,0.0000
62,121.2000,121.1500,0.0500
63,941.4000,941.4800,0.0800
64,0.0000,0.0000,-1.0000
65,974.5000,974.5000,0.0000
66,430.3000,430.3100,0.0100
67,0.0000,0.0000,-1.0000
68,0.0000,0.0000,0.0000
69,0.0000,0.0000,-1.0000
70,709.2000,709.2900,0.0900
71,0.0000,0.0000,-1.0000
72,0.0000,0.0000,-1.0000
73,0.0000,0.0000,-1.0000
74,13.3000,13.3100,0.0100
75,942.9000,942.9400,0.0400
76,0.0000,0.0000,-1.0000
77,208.4000,208.4500,0.0500
78,0.0000,0.0000,-1.0000
79,1920.8000,1920.7700,0.0300
80,512.8000,512.8200,0.0200
81,226.3000,226.3100,0.0100
82,520.4000,520.4200,0.0200
83,0.0000,0.0000,-1.0000
84,334.4000,334.4200,0.0200
85,0.0000,0.0000,-1.0000
86,992.8000,992.8200,0.0200
87,860.1000,860.1500,0.0500
88,684.9000,684.9700,0.0700
89,0.0000,0.0000,-1.0000
90,485.2000,485.2600,0.0600
91,258.2000,258.2400,0.0400
92,0.0000,0.0000,-1.0000
93,0.0000,0.0000,-1.0000
94,843.2000,843.2100,0.0100
95,0.0000,0.0000,-1.0000
96,437.5000,437.5300,0.0300
97,0.0000,0.0000,0.0000
98,816.4000,816.4000,0.0000
99,649.3000,649.3500,0.0500
100,0.0000,0.0000,-1.0000
101,0.0000,0.0000,-1.0000
102,757.3000,757.3400,0.0400
103,1073.6000,1073.6600,0.0600
104,869.0000,869.0700,0.0700
105,92.7000,92.7500,0.0500
106,299.6000,299.6300,0.0300
107,58.3000,58.3400,0.0400
108,0.0000,0.0000,0.0000
109,0.0000,0.0000,-1.0000
110,818.8000,818.8400,0.0400
111,586.0000,586.0400,0.0400
112,647.7000,647.7800,0.0800
113,0.0000,0.0000,-1.0000
114,105.8000,105.8400,0.0400
115,0.0000,0.0000,-1.0000
116,249.2000,249.1900,0.0100
117,106.8000,106.8800,0.0800
118,0.0000,0.0000,-1.0000
119,0.0000,0.0000,-1.0000
120,0.0000,0.0000,-1.0000
121,0.0000,0.0000,-1.0000
122,13.1000,13.0500,0.0500
123,0.0000,0.0000,-1.0000
124,0.0000,0.0000,-1.0000
125,1440.1000,1440.1300,0.0300
126,956.3000,956.3100,0.0100
127,39.6000,39.6600,0.0600
128,0.0000,0.0000,-1.0000
