start_time_s,start_distance_km,end_temp_c,end_soc_pct,heat_energy_kwh,charge_time_s,score_50
0.000000,40.000000000,22.491352607,24.830933047,3.660000000,766.984199979,0.000000000
1.000000,39.991666667,22.482402333,24.835451559,3.658333333,766.963095902,0.177489201
2.000000,39.983333333,22.473450623,24.839969993,3.656666667,766.941982947,0.355022142
3.000000,39.975000000,22.464497476,24.844488350,3.655000000,766.920861091,0.532598926
4.000000,39.966666667,22.455542894,24.849006627,3.653333333,766.899730391,0.710219279
5.000000,39.958333333,22.446586874,24.853524826,3.651666667,766.878590798,0.887883434
6.000000,39.950000000,22.437629417,24.858042949,3.650000000,766.857442293,1.065591497
7.000000,39.941666667,22.428670523,24.862560995,3.648333333,766.836284883,1.243343423
8.000000,39.933333333,22.419710192,24.867078958,3.646666667,766.815118653,1.421138796
9.000000,39.925000000,22.410748422,24.871596844,3.645000000,766.793943509,1.598978079
10.000000,39.916666667,22.401785215,24.876114653,3.643333333,766.772759455,1.776861257
11.000000,39.908333333,22.392820570,24.880632384,3.641666667,766.751566481,1.954788370
12.000000,39.900000000,22.383854487,24.885150036,3.640000000,766.730364627,2.132759233
13.000000,39.891666667,22.374886965,24.889667611,3.638333333,766.709153860,2.310773996
14.000000,39.883333333,22.365918004,24.894185108,3.636666667,766.687934161,2.488832763
15.000000,39.875000000,22.356947604,24.898702530,3.635000000,766.666705519,2.666935581
16.000000,39.866666667,22.347975765,24.903219870,3.633333333,766.645468002,2.845082118
17.000000,39.858333333,22.339002487,24.907737134,3.631666667,766.624221546,3.023272685
18.000000,39.850000000,22.330027768,24.912254321,3.630000000,766.602966150,3.201507296
19.000000,39.841666667,22.321051611,24.916771428,3.628333333,766.581701851,3.379785762
20.000000,39.833333333,22.312074013,24.921288456,3.626666667,766.560428636,3.558108151
21.000000,39.825000000,22.303094975,24.925805407,3.625000000,766.539146479,3.736474589
22.000000,39.816666667,22.294114496,24.930322280,3.623333333,766.517855375,3.914885099
23.000000,39.808333333,22.285132576,24.934839078,3.621666667,766.496555301,4.093339795
24.000000,39.800000000,22.276149216,24.939355796,3.620000000,766.475246307,4.271838432
25.000000,39.791666667,22.267164414,24.943872436,3.618333333,766.453928368,4.450381133
26.000000,39.783333333,22.258178171,24.948389000,3.616666667,766.432601449,4.628968068
27.000000,39.775000000,22.249190486,24.952905487,3.615000000,766.411265566,4.807599158
28.000000,39.766666667,22.240201359,24.957421895,3.613333333,766.389920741,4.986274301
29.000000,39.758333333,22.231210790,24.961938225,3.611666667,766.368566974,5.164993492
30.000000,39.750000000,22.222218780,24.966454476,3.610000000,766.347204252,5.343756798
31.000000,39.741666667,22.213225326,24.970970650,3.608333333,766.325832535,5.522564409
32.000000,39.733333333,22.204230430,24.975486747,3.606666667,766.304451856,5.701416173
33.000000,39.725000000,22.195234091,24.980002765,3.605000000,766.283062220,5.880312055
34.000000,39.716666667,22.186236308,24.984518707,3.603333333,766.261663579,6.059252296
35.000000,39.708333333,22.177237082,24.989034572,3.601666667,766.240255941,6.238236859
36.000000,39.700000000,22.168236413,24.993550359,3.600000000,766.218839332,6.417265616
37.000000,39.691666667,22.159234300,24.998066068,3.598333333,766.197413737,6.596338635
38.000000,39.683333333,22.150230742,25.002581701,3.596666667,766.175979141,6.775455989
39.000000,39.675000000,22.141225741,25.007097256,3.595000000,766.154535536,6.954617727
40.000000,39.666666667,22.132219294,25.011612733,3.593333333,766.133082963,7.133823646
41.000000,39.658333333,22.123211404,25.016128130,3.591666667,766.111621419,7.313073750
42.000000,39.650000000,22.114202068,25.020643451,3.590000000,766.090150843,7.492368346
43.000000,39.641666667,22.105191287,25.025158696,3.588333333,766.068671241,7.671707408
44.000000,39.633333333,22.096179061,25.029673863,3.586666667,766.047182635,7.851090821
45.000000,39.625000000,22.087165389,25.034188952,3.585000000,766.025685026,8.030518586
46.000000,39.616666667,22.078150271,25.038703964,3.583333333,766.004178389,8.209990825
47.000000,39.608333333,22.069133707,25.043218900,3.581666667,765.982662711,8.389507595
48.000000,39.600000000,22.060115688,25.047733768,3.580000000,765.961137905,8.569069334
49.000000,39.591666667,22.051096195,25.052248589,3.578333333,765.939603741,8.748677172
50.000000,39.583333333,22.042075226,25.056763366,3.576666667,765.918060194,8.928331225
51.000000,39.575000000,22.033052780,25.061278099,3.575000000,765.896507245,9.108031601
52.000000,39.566666667,22.024028857,25.065792789,3.573333333,765.874944880,9.287778355
53.000000,39.558333333,22.015003458,25.070307434,3.571666667,765.853373134,9.467571323
54.000000,39.550000000,22.005976581,25.074822035,3.570000000,765.831791969,9.647410685
55.000000,39.541666667,21.996948228,25.079336593,3.568333333,765.810201373,9.827296509
56.000000,39.533333333,21.987918396,25.083851108,3.566666667,765.788601343,10.007228804
57.000000,39.525000000,21.978887086,25.088365578,3.565000000,765.766991924,10.187207351
58.000000,39.516666667,21.969854299,25.092880005,3.563333333,765.745373069,10.367232378
59.000000,39.508333333,21.960820033,25.097394389,3.561666667,765.723744772,10.547303922
60.000000,39.500000000,21.951784288,25.101908730,3.560000000,765.702107023,10.727422019
61.000000,39.491666667,21.942747065,25.106423023,3.558333333,765.680459914,10.907586228
62.000000,39.483333333,21.933708362,25.110937273,3.556666667,765.658803352,11.087797005
63.000000,39.475000000,21.924668181,25.115451479,3.555000000,765.637137338,11.268054339
64.000000,39.466666667,21.915626520,25.119965644,3.553333333,765.615461859,11.448358300
65.000000,39.458333333,21.906583379,25.124479763,3.551666667,765.593776964,11.628708648
66.000000,39.450000000,21.897538758,25.128993838,3.550000000,765.572082602,11.809105625
67.000000,39.441666667,21.888492657,25.133507871,3.548333333,765.550378779,11.989549212
68.000000,39.433333333,21.879445075,25.138021861,3.546666667,765.528665476,12.170039496
69.000000,39.425000000,21.870396013,25.142535806,3.545000000,765.506942740,12.350576249
70.000000,39.416666667,21.861345469,25.147049708,3.543333333,765.485210526,12.531159688
71.000000,39.408333333,21.852293445,25.151563566,3.541666667,765.463468851,12.711789732
72.000000,39.400000000,21.843239939,25.156077379,3.540000000,765.441717710,12.892466410
73.000000,39.391666667,21.834184952,25.160591148,3.538333333,765.419957116,13.073189651
74.000000,39.383333333,21.825128482,25.165104873,3.536666667,765.398187035,13.253959625
75.000000,39.375000000,21.816070530,25.169618556,3.535000000,765.376407461,13.434776364
76.000000,39.366666667,21.807011096,25.174132195,3.533333333,765.354618387,13.615639899
77.000000,39.358333333,21.797950180,25.178645790,3.531666667,765.332819842,13.796550091
78.000000,39.350000000,21.788887780,25.183159342,3.530000000,765.311011803,13.977507052
79.000000,39.341666667,21.779823898,25.187672851,3.528333333,765.289194251,14.158510871
80.000000,39.333333333,21.770758532,25.192186317,3.526666667,765.267367190,14.339561535
81.000000,39.325000000,21.761691682,25.196699738,3.525000000,765.245530640,14.520658938
82.000000,39.316666667,21.752623349,25.201213114,3.523333333,765.223684619,14.701802997
83.000000,39.308333333,21.743553532,25.205726447,3.521666667,765.201829073,14.882993977
84.000000,39.300000000,21.734482230,25.210239737,3.520000000,765.179964010,15.064231843
85.000000,39.291666667,21.725409444,25.214752983,3.518333333,765.158089439,15.245516540
86.000000,39.283333333,21.716335173,25.219266185,3.516666667,765.136205354,15.426848102
87.000000,39.275000000,21.707259417,25.223779345,3.515000000,765.114311727,15.608226673
88.000000,39.266666667,21.698182176,25.228292461,3.513333333,765.092408562,15.789652227
89.000000,39.258333333,21.689103450,25.232805534,3.511666667,765.070495876,15.971124682
90.000000,39.250000000,21.680023238,25.237318563,3.510000000,765.048573670,16.152644037
91.000000,39.241666667,21.670941539,25.241831549,3.508333333,765.026641905,16.334210474
92.000000,39.233333333,21.661858354,25.246344492,3.506666667,765.004700594,16.515823937
93.000000,39.225000000,21.652773684,25.250857389,3.505000000,764.982749779,16.697484219
94.000000,39.216666667,21.643687527,25.255370242,3.503333333,764.960789433,16.879191452
95.000000,39.208333333,21.634599882,25.259883053,3.501666667,764.938819515,17.060945835
96.000000,39.200000000,21.625510750,25.264395821,3.500000000,764.916840023,17.242747378
97.000000,39.191666667,21.616420132,25.268908546,3.498333333,764.894850982,17.424595959
98.000000,39.183333333,21.607328025,25.273421226,3.496666667,764.872852403,17.606491531
99.000000,39.175000000,21.598234431,25.277933863,3.495000000,764.850844239,17.788434314
100.000000,39.166666667,21.589139348,25.282446459,3.493333333,764.828826487,17.970424329
101.000000,39.158333333,21.580042777,25.286959011,3.491666667,764.806799162,18.152461504
102.000000,39.150000000,21.570944718,25.291471518,3.490000000,764.784762296,18.334545678
103.000000,39.141666667,21.561845170,25.295983981,3.488333333,764.762715858,18.516676999
104.000000,39.133333333,21.552744132,25.300496401,3.486666667,764.740659830,18.698855568
105.000000,39.125000000,21.543641605,25.305008779,3.485000000,764.718594205,18.881081408
106.000000,39.116666667,21.534537590,25.309521110,3.483333333,764.696519035,19.063354267
107.000000,39.108333333,21.525432084,25.314033400,3.481666667,764.674434252,19.245674479
108.000000,39.100000000,21.516325088,25.318545648,3.480000000,764.652339855,19.428042054
109.000000,39.091666667,21.507216601,25.323057853,3.478333333,764.630235839,19.610457010
110.000000,39.083333333,21.498106625,25.327570013,3.476666667,764.608122268,19.792919035
111.000000,39.075000000,21.488995157,25.332082129,3.475000000,764.585999076,19.975428456
