time_s,temp_c,soc_pct,current_a,heating_kw,remaining_km
0.000000,0.000000000,65.000000000,39.918721692,0.000000,40.000000000
0.250000,-0.000281677,64.997227867,39.918879127,0.000000,39.997916667
0.500000,-0.000563341,64.994455722,39.919036563,0.000000,39.995833333
0.750000,-0.000844992,64.991683567,39.919194001,0.000000,39.993750000
1.000000,-0.001126631,64.988911401,39.919351441,0.000000,39.991666667
1.250000,-0.001408257,64.986139223,39.919508882,0.000000,39.989583333
1.500000,-0.001689871,64.983367035,39.919666324,0.000000,39.987500000
1.750000,-0.001971472,64.980594836,39.919823768,0.000000,39.985416667
2.000000,-0.002253060,64.977822626,39.919981213,0.000000,39.983333333
2.250000,-0.002534636,64.975050405,39.920138660,0.000000,39.981250000
2.500000,-0.002816199,64.972278173,39.920296109,0.000000,39.979166667
2.750000,-0.003097750,64.969505931,39.920453559,0.000000,39.977083333
3.000000,-0.003379288,64.966733677,39.920611010,0.000000,39.975000000
3.250000,-0.003660813,64.963961412,39.920768463,0.000000,39.972916667
3.500000,-0.003942326,64.961189137,39.920925918,0.000000,39.970833333
3.750000,-0.004223826,64.958416850,39.921083374,0.000000,39.968750000
4.000000,-0.004505314,64.955644553,39.921240832,0.000000,39.966666667
4.250000,-0.004786789,64.952872244,39.921398291,0.000000,39.964583333
4.500000,-0.005068251,64.950099925,39.921555752,0.000000,39.962500000
4.750000,-0.005349701,64.947327595,39.921713214,0.000000,39.960416667
5.000000,-0.005631138,64.944555254,39.921870678,0.000000,39.958333333
5.250000,-0.005912563,64.941782901,39.922028143,0.000000,39.956250000
5.500000,-0.006193975,64.939010538,39.922185610,0.000000,39.954166667
5.750000,-0.006475375,64.936238164,39.922343078,0.000000,39.952083333
6.000000,-0.006756762,64.933465779,39.922500548,0.000000,39.950000000
6.250000,-0.007038136,64.930693384,39.922658019,0.000000,39.947916667
6.500000,-0.007319498,64.927920977,39.922815492,0.000000,39.945833333
6.750000,-0.007600847,64.925148559,39.922972967,0.000000,39.943750000
7.000000,-0.007882183,64.922376130,39.923130443,0.000000,39.941666667
7.250000,-0.008163507,64.919603691,39.923287920,0.000000,39.939583333
7.500000,-0.008444819,64.916831240,39.923445399,0.000000,39.937500000
7.750000,-0.008726117,64.914058779,39.923602880,0.000000,39.935416667
8.000000,-0.009007404,64.911286306,39.923760362,0.000000,39.933333333
8.250000,-0.009288677,64.908513823,39.923917845,0.000000,39.931250000
8.500000,-0.009569938,64.905741329,39.924075330,0.000000,39.929166667
8.750000,-0.009851187,64.902968823,39.924232817,0.000000,39.927083333
9.000000,-0.010132423,64.900196307,39.924390305,0.000000,39.925000000
9.250000,-0.010413646,64.897423780,39.924547795,0.000000,39.922916667
9.500000,-0.010694857,64.894651242,39.924705286,0.000000,39.920833333
9.750000,-0.010976055,64.891878693,39.924862779,0.000000,39.918750000
10.000000,-0.011257240,64.889106133,39.925020273,0.000000,39.916666667
10.250000,-0.011538413,64.886333562,39.925177769,0.000000,39.914583333
