start_time_s,start_distance_km,end_temp_c,end_soc_pct,heat_energy_kwh,charge_time_s,score_50
0.000000,40.000000000,22.491813669,24.831082467,3.660000000,766.979288563,0.000000000
1.000000,39.991666667,22.482863333,24.835600925,3.658333333,766.958185635,0.177488615
2.000000,39.983333333,22.473911558,24.840119311,3.656666667,766.937073745,0.355021384
3.000000,39.975000000,22.464958345,24.844637631,3.655000000,766.915952808,0.532598717
4.000000,39.966666667,22.456003699,24.849155849,3.653333333,766.894823344,0.710218061
5.000000,39.958333333,22.447047613,24.853674011,3.651666667,766.873684653,0.887882855
6.000000,39.950000000,22.438090089,24.858192081,3.650000000,766.852537304,1.065590303
7.000000,39.941666667,22.429131132,24.862710084,3.648333333,766.831380881,1.243342451
8.000000,39.933333333,22.420170736,24.867227994,3.646666667,766.810215798,1.421137263
9.000000,39.925000000,22.411208900,24.871745842,3.645000000,766.789041581,1.598977071
10.000000,39.916666667,22.402245629,24.876263594,3.643333333,766.767858734,1.776859391
11.000000,39.908333333,22.393280918,24.880781289,3.641666667,766.746666666,1.954787138
12.000000,39.900000000,22.384314768,24.885298889,3.640000000,766.725465953,2.132757475
13.000000,39.891666667,22.375347182,24.889816416,3.638333333,766.704256247,2.310772112
14.000000,39.883333333,22.366378157,24.894333871,3.636666667,766.683037534,2.488831120
15.000000,39.875000000,22.357407691,24.898851236,3.635000000,766.661810093,2.666933122
16.000000,39.866666667,22.348435786,24.903368543,3.633333333,766.640573436,2.845080528
17.000000,39.858333333,22.339462443,24.907885746,3.631666667,766.619328248,3.023269960
18.000000,39.850000000,22.330487657,24.912402898,3.630000000,766.598073735,3.201505329
19.000000,39.841666667,22.321511435,24.916919951,3.628333333,766.576810597,3.379783186
20.000000,39.833333333,22.312533773,24.921436934,3.626666667,766.555538412,3.558105614
21.000000,39.825000000,22.303554668,24.925953837,3.625000000,766.534257336,3.736471841
22.000000,39.816666667,22.294574123,24.930470668,3.623333333,766.512967238,3.914882511
23.000000,39.808333333,22.285592138,24.934987413,3.621666667,766.491668313,4.093336665
24.000000,39.800000000,22.276608710,24.939504089,3.620000000,766.470360302,4.271835583
25.000000,39.791666667,22.267623844,24.944020684,3.618333333,766.449043406,4.450378270
26.000000,39.783333333,22.258637536,24.948537192,3.616666667,766.427717683,4.628964441
27.000000,39.775000000,22.249649784,24.953053647,3.615000000,766.406382634,4.807596553
28.000000,39.766666667,22.240660592,24.957569992,3.613333333,766.385039133,4.986270303
29.000000,39.758333333,22.231669956,24.962086287,3.611666667,766.363686227,5.164990383
30.000000,39.750000000,22.222677879,24.966602483,3.610000000,766.342324690,5.343752985
31.000000,39.741666667,22.213684360,24.971118615,3.608333333,766.320953979,5.522560781
32.000000,39.733333333,22.204689398,24.975634664,3.606666667,766.299574370,5.701412410
33.000000,39.725000000,22.195692993,24.980150634,3.605000000,766.278185811,5.880308125
34.000000,39.716666667,22.186695143,24.984666532,3.603333333,766.256788206,6.059248412
35.000000,39.708333333,22.177695851,24.989182350,3.601666667,766.235381648,6.238232797
36.000000,39.700000000,22.168695116,24.993698090,3.600000000,766.213966096,6.417261490
37.000000,39.691666667,22.159692935,24.998213751,3.598333333,766.192541604,6.596334228
38.000000,39.683333333,22.150689313,25.002729344,3.596666667,766.171107944,6.775452126
39.000000,39.675000000,22.141684246,25.007244837,3.595000000,766.149665652,6.954612550
40.000000,39.666666667,22.132677731,25.011760285,3.593333333,766.128213869,7.133819731
41.000000,39.658333333,22.123669774,25.016275622,3.591666667,766.106753597,7.313068729
42.000000,39.650000000,22.114660373,25.020790902,3.590000000,766.085283996,7.492363681
43.000000,39.641666667,22.105649524,25.025306101,3.588333333,766.063805448,7.671702715
44.000000,39.633333333,22.096637233,25.029821216,3.586666667,766.042317987,7.851085655
45.000000,39.625000000,22.087623494,25.034336263,3.585000000,766.020821366,8.030513719
46.000000,39.616666667,22.078608309,25.038851225,3.583333333,765.999315853,8.209985584
47.000000,39.608333333,22.069591677,25.043366119,3.581666667,765.977801180,8.389502582
48.000000,39.600000000,22.060573591,25.047880937,3.580000000,765.956277495,8.569063969
49.000000,39.591666667,22.051554030,25.052395720,3.578333333,765.934744284,8.748672289
50.000000,39.583333333,22.042532993,25.056910441,3.576666667,765.913201958,8.928325506
51.000000,39.575000000,22.033510477,25.061425142,3.575000000,765.891649861,9.108026863
52.000000,39.566666667,22.024486486,25.065939775,3.573333333,765.870088735,9.287772695
53.000000,39.558333333,22.015461015,25.070454386,3.571666667,765.848517878,9.467566471
54.000000,39.550000000,22.006434070,25.074968939,3.570000000,765.826937816,9.647405589
55.000000,39.541666667,21.997405648,25.079483449,3.568333333,765.805348317,9.827291198
56.000000,39.533333333,21.988375747,25.083997928,3.566666667,765.783749216,10.007224105
57.000000,39.525000000,21.979344369,25.088512341,3.565000000,765.762141020,10.187201820
58.000000,39.516666667,21.970311512,25.093026733,3.563333333,765.740523069,10.367227594
59.000000,39.508333333,21.961277176,25.097541065,3.561666667,765.718895943,10.547298565
60.000000,39.500000000,21.952241362,25.102055368,3.560000000,765.697259153,10.727417143
61.000000,39.491666667,21.943204070,25.106569610,3.558333333,765.675613175,10.907580980
62.000000,39.483333333,21.934165298,25.111083823,3.556666667,765.653957551,11.087792340
63.000000,39.475000000,21.925125047,25.115597977,3.555000000,765.632292720,11.268049058
64.000000,39.466666667,21.916083316,25.120112105,3.553333333,765.610618162,11.448353692
65.000000,39.458333333,21.907040106,25.124626172,3.551666667,765.588934432,11.628703510
66.000000,39.450000000,21.897995416,25.129140204,3.550000000,765.567241115,11.809100554
67.000000,39.441666667,21.888949245,25.133654197,3.548333333,765.545538261,11.989544582
68.000000,39.433333333,21.879901595,25.138168132,3.546666667,765.523826181,12.170034060
69.000000,39.425000000,21.870852461,25.142682047,3.545000000,765.502104268,12.350571980
70.000000,39.416666667,21.861801848,25.147195891,3.543333333,765.480373317,12.531154424
71.000000,39.408333333,21.852749753,25.151709715,3.541666667,765.458632534,12.711785298
72.000000,39.400000000,21.843696178,25.156223478,3.540000000,765.436882542,12.892461544
73.000000,39.391666667,21.834641121,25.160737203,3.538333333,765.415122982,13.073184924
74.000000,39.383333333,21.825584583,25.165250881,3.536666667,765.393354001,13.253954711
75.000000,39.375000000,21.816526561,25.169764522,3.535000000,765.371575431,13.434771740
76.000000,39.366666667,21.807467057,25.174278114,3.533333333,765.349787477,13.615634994
77.000000,39.358333333,21.798406069,25.178791668,3.531666667,765.327989929,13.796545514
78.000000,39.350000000,21.789343600,25.183305177,3.530000000,765.306182916,13.977502659
79.000000,39.341666667,21.780279647,25.187818635,3.528333333,765.284366533,14.158505964
80.000000,39.333333333,21.771214211,25.192332069,3.526666667,765.262540321,14.339557692
81.000000,39.325000000,21.762147293,25.196845428,3.525000000,765.240705115,14.520653723
82.000000,39.316666667,21.753078888,25.201358773,3.523333333,765.218859933,14.701798903
83.000000,39.308333333,21.744009001,25.205872053,3.521666667,765.197005592,14.882989198
84.000000,39.300000000,21.734937629,25.210385301,3.520000000,765.175141540,15.064227337
85.000000,39.291666667,21.725864773,25.214898504,3.518333333,765.153267998,15.245512225
86.000000,39.283333333,21.716790432,25.219411660,3.516666667,765.131385003,15.426843677
87.000000,39.275000000,21.707714605,25.223924776,3.515000000,765.109492413,15.608222404
88.000000,39.266666667,21.698637293,25.228437850,3.513333333,765.087590298,15.789648048
89.000000,39.258333333,21.689558495,25.232950878,3.511666667,765.065678676,15.971120531
90.000000,39.250000000,21.680478214,25.237463857,3.510000000,765.043757606,16.152639555
91.000000,39.241666667,21.671396445,25.241976808,3.508333333,765.021826751,16.334206782
92.000000,39.233333333,21.662313191,25.246489690,3.506666667,764.999886755,16.515819042
93.000000,39.225000000,21.653228449,25.251002560,3.505000000,764.977936743,16.697480643
94.000000,39.216666667,21.644142221,25.255515356,3.503333333,764.955977645,16.879187002
95.000000,39.208333333,21.635054504,25.260028130,3.501666667,764.934008685,17.060941946
96.000000,39.200000000,21.625965301,25.264540854,3.500000000,764.912030253,17.242743552
97.000000,39.191666667,21.616874613,25.269053529,3.498333333,764.890042353,17.424591803
98.000000,39.183333333,21.607782436,25.273566170,3.496666667,764.868044742,17.606487890
99.000000,39.175000000,21.598688771,25.278078757,3.495000000,764.846037738,17.788430249
100.000000,39.166666667,21.589593617,25.282591312,3.493333333,764.824020990,17.970420613
101.000000,39.158333333,21.580496974,25.287103816,3.491666667,764.801994787,18.152457553
102.000000,39.150000000,21.571398844,25.291616286,3.490000000,764.779958874,18.334542325
103.000000,39.141666667,21.562299226,25.296128693,3.488333333,764.757913672,18.516672862
104.000000,39.133333333,21.553198116,25.300641081,3.486666667,764.735858523,18.698852397
105.000000,39.125000000,21.544095518,25.305153403,3.485000000,764.713794150,18.881077377
106.000000,39.116666667,21.534991431,25.309665699,3.483333333,764.691719895,19.063351033
107.000000,39.108333333,21.525885854,25.314177940,3.481666667,764.669636244,19.245670979
108.000000,39.100000000,21.516778787,25.318690140,3.480000000,764.647542962,19.428038368
109.000000,39.091666667,21.507670229,25.323202309,3.478333333,764.625439889,19.610453996
110.000000,39.083333333,21.498560183,25.327714413,3.476666667,764.603327558,19.792915226
111.000000,39.075000000,21.489448643,25.332226496,3.475000000,764.581205270,19.975425511
112.000000,39.066666667,21.480335613,25.336738518,3.473333333,764.559073649,20.157981769
113.000000,39.058333333,21.471221090,25.341250513,3.471666667,764.536932169,20.340586597
114.000000,39.050000000,21.462105078,25.345762450,3.470000000,764.514781313,20.523237615
115.000000,39.041666667,21.452987574,25.350274352,3.468333333,764.492620680,20.705936799
116.000000,39.033333333,21.443868579,25.354786200,3.466666667,764.470450607,20.888682481
117.000000,39.025000000,21.434748090,25.359298022,3.465000000,764.448270649,21.071476867
118.000000,39.016666667,21.425626109,25.363809784,3.463333333,764.426081316,21.254317431
119.000000,39.008333333,21.416502635,25.368321511,3.461666667,764.403882223,21.437206076
120.000000,39.000000000,21.407377668,25.372833200,3.460000000,764.381673413,21.620142595
121.000000,38.991666667,21.398251209,25.377344831,3.458333333,764.359455200,21.803125434
122.000000,38.983333333,21.389123255,25.381856443,3.456666667,764.337226956,21.986157685
123.000000,38.975000000,21.379993809,25.386367983,3.455000000,764.314989523,22.169235205
124.000000,38.966666667,21.370862868,25.390879503,3.453333333,764.292742076,22.352362058
125.000000,38.958333333,21.361730432,25.395390965,3.451666667,764.270485221,22.535535258
126.000000,38.950000000,21.352596504,25.399902388,3.450000000,764.248218617,22.718756484
127.000000,38.941666667,21.343461081,25.404413766,3.448333333,764.225942402,22.902025059
128.000000,38.933333333,21.334324162,25.408925106,3.446666667,764.203656440,23.085341645
129.000000,38.925000000,21.325185749,25.413436398,3.445000000,764.181360889,23.268705476
130.000000,38.916666667,21.316045839,25.417947653,3.443333333,764.159055573,23.452117407
131.000000,38.908333333,21.306904433,25.422458864,3.441666667,764.136740610,23.635576863
132.000000,38.900000000,21.297761532,25.426970023,3.440000000,764.114416099,23.819083357
133.000000,38.891666667,21.288617136,25.431481159,3.438333333,764.092081577,24.002639166
134.000000,38.883333333,21.279471246,25.435992220,3.436666667,764.069737880,24.186240173
135.000000,38.875000000,21.270323855,25.440503269,3.435000000,764.047384021,24.369891244
136.000000,38.866666667,21.261174970,25.445014252,3.433333333,764.025020828,24.553588297
137.000000,38.858333333,21.252024586,25.449525205,3.431666667,764.002647733,24.737334126
138.000000,38.850000000,21.242872705,25.454036114,3.430000000,763.980264956,24.921127655
139.000000,38.841666667,21.233719328,25.458546974,3.428333333,763.957872577,25.104968485
140.000000,38.833333333,21.224564452,25.463057797,3.426666667,763.935470390,25.288857632
141.000000,38.825000000,21.215408078,25.467568576,3.425000000,763.913058521,25.472794475
142.000000,38.816666667,21.206250206,25.472079311,3.423333333,763.890636938,25.656779173
143.000000,38.808333333,21.197090836,25.476589998,3.421666667,763.868205737,25.840811255
144.000000,38.800000000,21.187929967,25.481100658,3.420000000,763.845764572,26.024892420
145.000000,38.791666667,21.178767601,25.485611248,3.418333333,763.823314085,26.209019505
146.000000,38.783333333,21.169603733,25.490121826,3.416666667,763.800853397,26.393196848
147.000000,38.775000000,21.160438368,25.494632332,3.415000000,763.778383450,26.577419798
148.000000,38.766666667,21.151271500,25.499142815,3.413333333,763.755903452,26.761692267
