case_id,best_start_distance_km,min_charge_s,max_charge_s,min_heat_kWh,max_heat_kWh
1,29.379,1031.390381,1039.585327,3.188295,3.769962
2,35.800,933.415100,940.587097,3.136166,3.752949
3,35.255,980.892212,1017.587402,3.173216,4.092044
4,nan,nan,nan,nan,nan
5,32.170,1062.025757,1066.048340,3.155996,3.382662
6,nan,nan,nan,nan,nan
7,21.430,1060.936768,1065.869873,3.146076,3.372742
8,30.860,911.635986,940.863708,3.104661,3.959886
9,nan,nan,nan,nan,nan
10,19.350,1072.964600,1075.120361,3.165912,3.257579
11,37.515,919.629761,921.700378,3.158113,3.564779
12,nan,nan,nan,nan,nan
13,nan,nan,nan,nan,nan
14,19.430,1075.020508,1076.667114,3.185517,3.255517
15,nan,nan,nan,nan,nan
16,31.915,985.805359,1004.732483,3.175025,3.903379
17,35.750,918.626526,923.954834,3.137014,3.719581
18,nan,nan,nan,nan,nan
19,nan,nan,nan,nan,nan
20,38.495,905.463013,906.358398,3.172649,3.284315
21,33.225,1042.025635,1049.767090,3.119805,3.592051
22,23.850,999.668823,1034.965454,3.193672,4.040339
23,30.550,939.436707,954.974182,3.169193,3.875155
24,nan,nan,nan,nan,nan
25,39.000,972.456299,973.589966,3.128071,3.569134
26,nan,nan,nan,nan,nan
27,nan,nan,nan,nan,nan
28,nan,nan,nan,nan,nan
29,27.850,1080.355103,1080.643188,3.116458,3.129792
30,28.645,1021.366638,1039.706787,3.154432,3.852503
31,29.454,1047.038330,1054.645386,3.071791,3.466791
32,nan,nan,nan,nan,nan
33,nan,nan,nan,nan,nan
34,nan,nan,nan,nan,nan
35,38.300,895.040405,896.723206,3.182733,3.367733
36,nan,nan,nan,nan,nan
37,nan,nan,nan,nan,nan
38,24.185,1049.409668,1056.433594,3.196652,3.561652
39,nan,nan,nan,nan,nan
40,nan,nan,nan,nan,nan
41,34.410,1045.164307,1052.231567,3.110226,3.548937
42,21.200,1028.554565,1039.773560,3.143359,3.736693
43,35.080,968.354309,986.900391,3.125606,3.869913
44,24.200,1040.072388,1048.999146,3.178155,3.656488
45,35.635,927.565735,934.245056,3.139204,3.745768
46,34.450,989.003784,1014.389099,3.167376,3.968164
47,nan,nan,nan,nan,nan
48,nan,nan,nan,nan,nan
49,nan,nan,nan,nan,nan
50,35.170,1018.209167,1029.121216,3.185610,3.824174
51,nan,nan,nan,nan,nan
52,nan,nan,nan,nan,nan
53,21.185,1060.860474,1065.816528,3.150292,3.376959
54,39.000,1002.752869,1006.533325,3.140101,3.649877
55,34.925,984.124634,1003.507813,3.084629,3.831228
56,36.105,925.203491,930.385925,3.135486,3.723000
57,39.000,1041.221924,1042.930420,3.128706,3.278706
58,20.110,966.063538,993.166016,3.185098,3.963365
59,30.815,911.961121,927.197449,3.217868,3.905061
60,28.990,1060.038330,1064.736938,3.129671,3.378004
61,38.099,931.011169,931.886536,3.160526,3.362192
62,38.276,1032.566772,1040.573364,3.112751,3.737062
63,29.225,1009.043152,1045.759155,3.195466,4.066755
64,nan,nan,nan,nan,nan
65,29.070,1059.613892,1064.234985,3.193172,3.446506
66,35.215,967.916077,983.763306,3.120257,3.837331
67,nan,nan,nan,nan,nan
68,39.000,966.087830,966.486511,3.171839,3.573506
69,nan,nan,nan,nan,nan
70,31.120,970.741089,984.968323,3.171759,3.860060
71,nan,nan,nan,nan,nan
72,nan,nan,nan,nan,nan
73,nan,nan,nan,nan,nan
74,38.906,1016.433044,1021.817017,3.131418,3.703094
75,26.900,963.095581,987.770203,3.103881,3.887965
76,nan,nan,nan,nan,nan
77,37.680,848.332275,850.657654,3.212901,3.559567
78,nan,nan,nan,nan,nan
