case_id,best_start_distance_km,min_charge_s,max_charge_s,min_heat_kWh,max_heat_kWh
1,29.388,1031.361938,1042.662720,3.187959,3.807292
2,35.796,933.599854,940.698181,3.136282,3.752949
3,35.252,980.773621,1017.446045,3.173044,4.092044
4,nan,nan,nan,nan,nan
5,32.156,1062.160767,1066.164673,3.155087,3.381087
6,nan,nan,nan,nan,nan
7,21.431,1060.990356,1065.946045,3.145456,3.373123
8,30.853,911.599182,945.025330,3.104219,4.008552
9,nan,nan,nan,nan,nan
10,19.342,1073.070068,1075.232544,3.164949,3.256949
11,37.511,919.643982,921.735657,3.157779,3.564779
12,nan,nan,nan,nan,nan
13,nan,nan,nan,nan,nan
14,19.430,1075.003906,1076.690186,3.184795,3.256462
15,nan,nan,nan,nan,nan
16,31.911,985.775818,1023.365112,3.174713,4.085712
17,35.745,918.559814,923.867859,3.136580,3.719581
18,nan,nan,nan,nan,nan
19,nan,nan,nan,nan,nan
20,38.492,905.580200,906.500549,3.172649,3.284315
21,33.203,1042.270752,1049.987793,3.119123,3.589790
22,23.837,999.565369,1037.702393,3.193865,4.066198
23,30.551,939.542542,973.214417,3.169564,4.073231
24,nan,nan,nan,nan,nan
25,39.000,972.825989,973.982178,3.128800,3.569134
26,nan,nan,nan,nan,nan
27,nan,nan,nan,nan,nan
28,nan,nan,nan,nan,nan
29,27.850,1080.312866,1080.634644,3.116510,3.131510
30,28.644,1021.516113,1050.390503,3.154803,3.948469
31,29.491,1046.835449,1054.481567,3.071754,3.469421
32,nan,nan,nan,nan,nan
33,nan,nan,nan,nan,nan
34,nan,nan,nan,nan,nan
35,38.297,895.261597,896.942383,3.182733,3.367733
36,nan,nan,nan,nan,nan
37,nan,nan,nan,nan,nan
38,24.183,1049.477295,1056.515869,3.196329,3.561996
39,nan,nan,nan,nan,nan
40,nan,nan,nan,nan,nan
41,34.401,1045.294556,1052.311523,3.109939,3.547606
42,21.191,1028.648804,1045.150024,3.143160,3.783160
43,35.069,968.246155,986.753845,3.124580,3.869913
44,24.196,1040.133423,1049.050415,3.177923,3.655923
45,35.634,927.824707,934.443237,3.139434,3.745767
46,34.442,988.880981,1014.224854,3.167497,3.968163
47,nan,nan,nan,nan,nan
48,nan,nan,nan,nan,nan
49,nan,nan,nan,nan,nan
50,30.719,1018.213623,1052.913330,3.185507,4.043174
51,nan,nan,nan,nan,nan
52,nan,nan,nan,nan,nan
53,21.197,1060.711182,1065.743530,3.149211,3.379545
54,39.000,1002.784729,1006.572937,3.139544,3.649877
55,34.914,984.211243,1003.567871,3.083894,3.831228
56,36.101,925.094971,930.257080,3.135334,3.723001
57,39.000,1041.327881,1043.037598,3.128706,3.278706
58,20.101,966.078796,1000.890503,3.184556,4.038890
59,30.808,911.868774,945.922729,3.217394,4.124060
60,29.000,1059.859375,1064.599609,3.129709,3.380375
61,38.094,931.035156,931.922974,3.160859,3.362193
62,38.276,1032.756226,1041.418701,3.113061,3.743395
63,29.215,1009.082947,1048.596313,3.194755,4.092422
64,nan,nan,nan,nan,nan
65,29.061,1059.787354,1064.410400,3.192361,3.445028
66,35.214,967.929260,983.733704,3.120331,3.837331
67,nan,nan,nan,nan,nan
68,38.999,966.499023,966.935547,3.171840,3.573506
69,nan,nan,nan,nan,nan
70,31.114,970.602600,1006.911072,3.171393,4.085060
71,nan,nan,nan,nan,nan
72,nan,nan,nan,nan,nan
73,nan,nan,nan,nan,nan
74,38.910,1016.614197,1022.021973,3.130428,3.703095
75,26.874,962.984497,998.032410,3.102724,3.994058
76,nan,nan,nan,nan,nan
77,37.676,848.389099,850.705139,3.212568,3.559568
78,nan,nan,nan,nan,nan
79,19.523,1076.547729,1077.842773,3.173684,3.228351
80,35.085,1022.002930,1049.797729,3.160255,3.967589
81,37.530,906.332520,908.936768,3.158893,3.535559
